alternatywnym,alternative
alternatywą,alternative
aluminiowe,aluminum
amatorski,amateur
amatorzy,amateurs
amatorów,amateurs
ambasada,embassy
ambasadorką,Ambassador
ambasadorów,ambassadors
ambicją,ambition
ambitna,ambitious
ambitniejsze,more ambitious
ambulanse,ambulances
amerykanista,Americanist
amerykanistę,an Americanist
amerykañski,American
amerykańscy,American
amerykańskich,American
amerykańskimi,American
amerykańską,American
amoniaku,ammonia
amunicja,ammunition
anafilaktycznego,anaphylactic
analityk,analyst
analiz,analysis
analizowanie,Analyzing
analizuję,I am analyzing
analizę,analysis
analogicznej,analogous
ancymonem,anthemone
aneksowi,annex
anemię,anemia
angaż,engagement
angażowanie,Engagement
angażują,they engage
angielski,English
angielskie,English
angielskiej,English
angielskim,English
angielskojęzyczni,English speakers
angielsku,English
anglojęzyczny,English speaking
animacjąBędę,animationI will be
anime,anime
animków,Animated
animowany,animated
animowanym,animated
animuszem,with spirit
aniołka,little angel
aniołków,little angels
aniołów,Angels
ankietach,surveys
ankietera,interviewer
ankieterów,pollsters
ankietę,a survey
anonimowo,anonymously
anonimowości,anonymity
anonimowym,anonymous
antenach,antennas
antenowy,aerial
anteny,Antennas
antenę,Antenna
antresola,mezzanine
antrykot,entrecote
anturażu,entourage
anty,anti
anty-Rosją,anti-Russia
antyalkoholowym,anti-alcohol
antybiotyki,antibiotics
antyczne,antique
antydopingowych,anti-doping
antynagroda,anti-prize
antyoksydacyjne,antioxidant
antypoślizgowe,anti-slip
antyreżimowymi,anti-regime
antysemityzmie,anti-Semitism
antywirusowego,antivirus
anulowane,Cancelled
anyżem,anise
aparatury,apparatus
aparatów,cameras
apartament,apartment
apartamentowca,apartment building
apelację,appeal
apelem,an appeal
apeli,appeals
apelowały,They appealed
apelując,appealing
aplikacje,applications
apps,apps
aprobuje,I approve
aptece,pharmacy
apteczce,in the medicine cabinet
aptecznych,pharmacy
aptekach,pharmacies
aquaparku,aquapark
arabskich,arabic
arabskie,Arabic
arabskiego,Arabic
arabskiej,arabic
aranżować,arrange
arbiter,arbitrator
arboretum,arboretum
archaiczną,archaic
archeologa,archaeologist
archeologów,archaeologists
archikatedralna,Archcathedral
archipelagu,archipelago
architekta,architect
architektonicznych,architectural
architekturę,architecture
archiwach,archives
archiwalnej,archival
archiwalnych,archival
archiwalnym,archival
archiwistyka,Archival Science
arcybiskupa,Archbishop
arcybiskupem,Archbishop
arcydzieło,masterpiece
areligijną,areligious
arenach,arenas
aresztowana,arrested
aresztowe,custody
aresztujemy,we are arresting
argentyńskiego,Argentine
argentyńsko-brazylijską,Argentine-Brazilian
argument,argument
argumentacji,argumentation
arkadami,arcades
arkuszy,sheets
armatnich,cannon
armią,army
armię,the army
aromat,aroma
aromatu,aroma
aromatycznych,aromatic
arsenał,arsenal
art,art
artykułami,articles
artykułów,articles
artylerii,artillery
artyleryjskich,artillery
artystka,artist
artystki,artists
artystyczna,artistic
artystycznymi,artistic
artystyczną,artistic
artystę,an artist
arystokratą,aristocrat
arów,Ares
asa,ace
asertywny,assertive
asfalt,asphalt
asfaltu,asphalt
asortyment,assortment
aspiracji,aspirations
astronomicznym,astronomical
asystach,assists
asyście,assisted
atakach,attacks
atakował,he attacked
atakowała,she attacked
atakujący,attacker
atelier,atelier
atmosferyczny,atmospheric
atomizerem,atomizer
atomowej,atomic
atomowych,atomic
atrakcjom,attractions
atrakcję,an attraction
atrakcyjna,attractive
atrakcyjnej,attractive
atrakcyjności,attractiveness
atrakcyjność,attractiveness
atrakcyjnymi,attractive
atuty,advantages
audiencji,audience
aukcja,auction
aukcjach,auctions
aukcjami,auctions
aukcję,auction
auli,auditorium
australijska,Australian
austriacki,Austrian
austriackich,Austrian
aut.,aut.
autem,by car
autentyczne,authentic
autentyczność,authenticity
autentycznym,authentic
autobusach,buses
autobusami,by bus
autobusem,by bus
autobusom,buses
autobusowe,bus
autobusowym,bus
autobusową,bus
autobusu,bus
autografami,autographs
autografem,autograph
automat,machine
automatem,automatic
automatycznych,automatic
automatyczną,automatic
autonomii,autonomy
autorowi,to the author
autorskiego,author's
autorstwa,by
autorytetem,authority
autorytety,authorities
autorze,author
autorów,authors
autostrada,highway
autostradach,highways
autostrade,motorway
autostradowe,motorway
autostradowej,motorway
autyzmem,autism
awansowali,They got promoted
awansowa³a,She got promoted
awansować,advance
awansował,He was promoted
awansuj,advance
awansujemy,we will advance
awantur,a fuss
awanturującej,making a fuss
awantury,brawls
awanturę,a quarrel
awariach,failures
awarią,malfunction
awaryjnego,emergency
awaryjnej,emergency
awersie,obverse
awizowane,notified
azalie,azaleas
azjatyckiej,Asian
azjatycką,Asian
azot,azote
azotowe,nitrogen
azylanci,asylum seekers
baaaardzo,veeeery much
babciowe,Grandma's
babcię,Grandma
babeczka,bun
babeczkami,cupcakes
babeszjoza,Babesiosis
babki,grandmothers
bada,I am researching
badacz,researcher
badaczka,researcher
badane,examined
badawczym,research
badał,he was researching
badały,They were investigating
bagażnika,trunk
bagaży,luggage
bakterie,bacteria
bakterii,bacteria
balet,ballet
baletnicy,ballerinas
balistycznych,ballistic
balkonów,balconies
balon,balloon
balony,balloons
bambusowymi,bamboo
banalne,trivial
banalności,banality
banan,banana
banderia,flag
bandy,gangs
bandytów,bandits
baner,Banner
banerami,banners
baneru,banner
banery,Banners
banerów,banners
bankach,banks
bankomatach,ATMs
bankow,Banks
bankowe,bank
bankowej,bank
bankowi,bank
bankowości,banking
bankowość,banking
bankrutuje,goes bankrupt
baobao,baobao
baraków,barracks
baranka,lamb
baranki,lambs
barażach,play-offs
barażami,play-offs
barażów,play-offs
barbarzyństwie,barbarity
barbarzyństwo,barbarity
barberski,barber
barierkach,barriers
barierki,barriers
barku,shoulder
barometrach,barometers
barwach,in colors
barwna,colorful
barwnej,colorful
barwy,colors
barów,bars
basen,swimming pool
basenami,swimming pools
basenem,swimming pool
basenu,swimming pool
baseny,swimming pools
basketem,basketball
basów,bass
batalia,battle
batalionu,battalion
batalię,the battle
bateria,battery
batony,bars
bawiliśmy,we had fun
bawiły,They were having fun
baz,bases
bazach,bases
bazaltowe,basalt
bazarkach,bazaars
bazowe,basic
bazowej,base
bazuje,is based
bazylika,basilica
bazylią,basil
bazylię,basil
bazę,base
bać,be afraid
bał,ball
bała,she was afraid
bałagan,mess
bało,it was scary
bałtyckich,Baltic
bear,bear
beczkowóz,water cart
beethovenowski,Beethovenian
behawioralne,behavioral
behawiorystka,behaviorist
belki,beams
belę,a bale
bene,good
bengalskich,Bengali
benzyna,gas
benzynowych,petrol
benzynową,petrol
benzynę,petrol
bestialski,bestial
beton,concrete
betonem,concrete
bezalkoholowe,non-alcoholic
bezbramkowej,goalless
bezbramkowy,goalless
bezbłędnie,faultlessly
bezcelowe,pointless
bezczelnie,insolently
bezczynnie,idly
bezcłowa,duty free
bezcłowemu,duty free
bezdomne,homeless
bezdomności,homelessness
bezimienny,nameless
bezkarności,impunity
bezmięsnych,meatless
bezmyślnego,thoughtless
bezpiecznego,safe
bezpieczni,safe
bezpieczniejsze,safer
bezpieczniejszą,safer
bezpiecznych,safe
bezpośredniego,direct
bezpośredniej,direct
bezpośrednim,direct
bezprecedensową,unprecedented
bezpłatnie,free
bezpłatnych,free of charge
bezpłatną,free of charge
bezradna,helpless
bezrefleksyjnie,thoughtlessly
bezrybnych,fishless
bezsennością,insomnia
bezskutecznych,ineffective
bezstopniową,stepless
bezwarunkowym,unconditional
bezwstydu,shamelessness
bezwykopowych,trenchless
bezwzglêdnej,ruthless
bezwzględnej,ruthless
bezwzględnych,ruthless
bezzałogowcami,unmanned aerial vehicles
bezzałogowców,unmanned aerial vehicles
bezzałogowych,unmanned
bezą,meringue
beż,without
beżami,Beige
beżowy,beige
beżową,beige
biała,white
białaczkę,Leukemia
białego,white
białej,white
białko,protein
biało,white
biało-czerwoni,white and red
biało-czerwonych,white and red
biało-niebiescy,white and blue
biało-niebieskich,white and blue
białoruski,Byelorussian
białostockich,Bialystok
białostockiego,Bialystok
białostockiej,Bialystok
białymi,white
biblijnego,biblical
biblijnej,biblical
biblioteczkę,a bookcase
bibliotekarze,librarians
biblioteki,libraries
bidoków,poor people
biedna,poor
biedne,poor
biedniejszych,the poorer
biednych,poor
biedronkę,a ladybug
biega,he is running
biegaczom,runners
biegający,running
biegania,running
biegać,to run
biegi,runs
biegnących,running
bieguna,pole
biegunka,diarrhea
biegunki,diarrhea
biegów,gears
biegła,She was fluent
biegły,proficient
biegłych,experts
biel,white
bielami,whites
bielszczanek,Bielszczanek
biernego,passive
bierzmowania,confirmation
bies,devil
biełgorodzkim,Belgorodsky
bieżni,treadmill
bieżnię,treadmill
bieżący,current
bieżącym,current
bije,it beats
bikini,bikini
bilans,balance
bilet,ticket
biliona,trillion
billboardy,Billboards
bio,organic
biodruku,bioprinting
biogaz,biogas
biograficzny,biographical
biologa,biologist
biologicznie,biologically
biologiczną,biological
biologię,biology
biometeorologów,biometeorologists
bior±cych,taking
bioróżnorodnych,biodiverse
biorących,taking
biorącą,taking
biorę,I take
biotechnologii,biotechnology
birczański,Birczański
birdie,birdie
biskup,bishop
biskupa,bishop
biszkoptem,sponge cake
biszkoptowe,sponge cake
bita,whipped
bito,beaten
bitumiczną,bituminous
bitwy,Battles
biur,offices
biura,offices
biurach,offices
biurem,office
biurka,desks
biuro,office
biurokratów,bureaucrats
biurowca,office building
biurze,in the office
biznesach,businesses
biznesem,business
biznesowe,business
biznesowymi,business
biznesową,business
bizona,buffalo
bić,beat
bił,he was beating
biżuterii,jewelry
biżuterię,jewelry
blachy,sheets
blanco,Blank
blask,shine
blaszki,plaques
blika,Blik
blikiem,with a blimp
bliskiego,close
bliźniaka,twin
bliższa,closer
bloga,blog
blogerkę,a blogger
blogerzy,bloggers
blogerów,bloggers
blogu,blog
blokadê,blockade
blokiem,a block
blokom,blocks
blokowanie,blocking
blokowały,They blocked
bluzki,blouses
bluzy,sweatshirts
bobkowy,bay leaf
bobrza,beaver
boczkach,sides
boczne,side
bocznych,side
bodźcem,a stimulus
boga,god
bogactwo,wealth
bogatka,great tit
bogato,richly
bogatsza,richer
bogaty,rich
bogatą,rich
bogów,gods
bohaterami,heroes
bohaterowi,to the hero
bohaterska,heroic
bohaterskiej,heroic
boho,boho
boimy,we are afraid
boisk,pitches
boiskowymi,on the pitch
bojkocie,boycott
bojąc,afraid
boki,sides
bokiem,sideways
boksach,in the boxes
boksów,boxes
bolesne,painful
bolesny,painful
bolesnych,painful
bolesnym,painful
boleć,hurt
boleśnie,painfully
bombardowania,bombing
bombardowań,bombings
bombardują,They are bombing
bomberek,bomber jacket
bombie,bomb
bombowe,bomb
bonu,voucher
bonów,vouchers
boom,boom
boom”,"boom"""
boreliozy,Lyme disease
borowikach,boletus
borowiki,boletus
borysowskiego,Borisovsky
bota,bota
box,box
bożonarodzeniowych,Christmas
bpa,bpa
bracie,brother
brakach,shortcomings
bramek,goals
bramka,goal
bramkarze,goalkeepers
bramką,goal
bramę,the gate
branego,taken
brani,taken
brany,taken
branż,industries
branża,industry
branżach,industries
branżowym,industry
brat,brother
bratem,brother
brawurową,daring
brawurą,recklessness
brazylijski,Brazilian
brać,to take
brało,took
break,break
briefingu,briefing
brnąc,wade
brodzik,shower tray
brodzikiem,shower tray
brodzących,wading
brokerów,brokers
brokuł,broccoli
broniącej,defending
bronił,he defended
broniła,She defended
broni”,"""weapons"""
browaru,brewery
brownie,brownies
brud,dirt
brudna,dirty
brudnej,dirty
brudnopis,draft
brukowej,paving
brukselski,of Brussels
brukselskich,Brussels
brukselskiej,Brussels
brunatnego,brown
brutalność,brutality
brutalną,brutal
bruzdę,a furrow
brygadier,brigadier
brygadzie,brigade
brykiet,briquette
brytyjscy,British
brytyjska,British
brytyjskiemu,British
brytyjskim,British
brytyjską,British
bryłę,a lump
brzeg,edge
brzegów,shores
brzmienia,sounds
brzmieniowe,sound
brzoskwiniowy,peach
brzuchem,belly
brzuchu,belly
brzuszków,crunches
brzusznej,abdominal
brązami,browns
brązem,brown
brązowej,brown
budowalny,buildable
budowanie,building
budowanych,being built
budowaæ,to build
budował,he was building
budowlanki,construction workers
budowlany,building
budowlaną,construction
budowlę,the building
budownictwa,construction
budownictwie,construction
budownictwo,construction
buduj,build
buduje,he is building
budujemy,we are building
budujących,building
budy,kennels
budyniem,pudding
budynkach,buildings
budzik,alarm
budzić,wake
budzące,waking up
budzącą,waking up
bud¿etowego,budget
budżetowa,budget
budżetową,budget
budżetów,budgets
budżetówki,budget
bud偶ecie,budget
bufetu,buffet
bufkami,puffs
bukiet,bouquet
bukszpan,boxwood
buków,beeches
bulion,broth
bunkru,bunker
buntowałam,I rebelled
buntuje,he rebels
buraki,beetroot
burd,riot
burmistrzem,the mayor
burratą,burrata
burtę,side
burz,storm
burzliwa,stormy
burzliwy,stormy
burzowe,stormy
burzy,storm
burzę,a storm
busa,bus
busy,busy
butach,shoes
butelek,bottles
buzi,kiss
bułka,roll
bułką,roll
bułkę,a bun
bydgoska,Bydgoszcz
bydgoski,Bydgoszcz
bydgoskie,bydgoszcz
bydgoskiego,Bydgoszcz
bydła,cattle
bytem,being
bytowskiej,Bytowska
bytowskim,Bytow
bytu,existence
bywać,visit
bywało,It used to be
by³y,were
byłe,any
byłymi,former
byś,you would
bzu,lilac
bzów,elderberries
b³yskawiczna,lightning fast
b³±d,error
b³êdzie,mistake
bêdziemy,we will be
bêdê,I will
bóbr,beaver
ból,pain
bóstwa,deities
bądźmy,let's be
będziecie,you will be
będzieta,you will be
będzińskim,Bedzin
będąc,being
będącym,being
będącą,being
bł,b
bł.,bl.
błaga,sham
błagam,I beg you
błocie,mud
błogosławieństwie,blessing
błogosławieństwo,blessing
błogosławię,I bless
błonnika,fiber
błoto,mud
błysk,flash
błyskotliwi,brilliant
błysnęła,She flashed
błyszczący,shiny
błądzące,wandering
błąkał,he wandered
błędem,a mistake
błędne,wrong
błędnej,wrong
calkowicie,entirely
call,call
calu,inch
calzone,Calzone
capita,capita
cara,Tsar
carowie,the tsars
casting,casting
castingowcy,casting people
causa,cause
ca³kowicie,completely
całkowita,total
całkowitego,total
całkowitej,total
całkowitą,total
całodobowe,24/7
całodobowo,24/7
całokształt,the whole
całych,whole
ca艂y,whole
cebuli,onion
cebulkami,onions
cebulą,onion
cecha,characteristic
cechami,features
cechował,he characterized
cechuje,is characterized by
cegiełka,a brick
cegły,bricks
cekinami,sequins
cela,cell
celami,goals
celebrując,celebrating
celebryty,celebrities
celebrytów,celebrities
celi,the cell
celnego,customs
celny,customs
celną,customs
celowej,purposeful
celowych,purposeful
celuW,purposeIn
celując,aiming
celulozy,cellulose
ceni,appreciates
cenieni,valued
cenimy,we value
cenione,appreciated
ceniony,valued
cenionym,valued
cenię,I appreciate
cennego,precious
cennik,price-list
cenny,valuable
cennym,precious
cenowe,price
center,center
centra,centers
centrach,centers
centrali,headquarters
centralna,central
centralnego,central
centralnie,centrally
centralnych,central
centralnym,central
centralną,central
centrów,centers
centymetrów,centimeters
cenzura,censorship
cenzurując,censoring
ceną,price
ceramicznych,ceramic
ceramikę,ceramics
ceremonia,ceremony
ceremonie,ceremonies
ceremonię,ceremony
cerkwi,the church
cesarski,imperial
cesarskich,imperial
cesarskie,Caesarean
cesarz,emperor
ce³,purpose
ceł,objective
chadecja,Christian Democrats
chadeckich,Christian Democratic
chamstwem,rudeness
chamstwo,rabble
charakterem,character
charakteru,character
charakterystyczne,characteristic
charakterystycznego,characteristic
charakterystyczny,characteristic
charakterystycznych,characteristic
charakterystycznymi,characteristic
charakterystyczną,characteristic
charakterystyka,characteristic
charakteryzacjami,characterizations
charakteryzował,characterized
charakteryzuje,is characterized by
charakteryzująca,Characteristic
charkowskim,Kharkiv
charytatywny,charitable
charytatywnych,charities
charytatywnym,charity
charyzmą,charisma
chasydzka,Hasidic
chaszczami,thickets
chceta,you want
chciałam,I wanted
chciałbyś,would you like
chciałoby,would like
chcia艂oby,would like
chcielibyście,would you like
chcieliśmy,we wanted
chcieć,to want
chciwy,greedy
chcących,wanting
cheeseburgera,cheeseburger
chemicznej,chemical
chemicznych,chemical
chemicznymi,chemical
chemikaliami,chemicals
chemię,chemistry
chersoński,Kherson
chersońskim,Kherson
chełmżyńskiej,Chełmża
chinkale,khinkal
chirurga,surgeon
chirurgicznej,surgical
chirurgiczny,surgical
chińczyki,Chinese
chińskich,Chinese
chińskie,Chinese
chińskiej,Chinese
chińsko-europejska,Chinese-European
chleb,bread
chleba,bread
chlorek,chloride
chloropikryny,chloropicrin
chmurach,in the clouds
chmurami,clouds
chmurką,a cloud
chmurze,in the cloud
chodliwy,salable
chodnik,pavement
chodnika,sidewalk
chodnikach,sidewalks
chodniki,sidewalks
chodniku,the sidewalk
chodzeniem,walking
cholerę,cholera
cholesterolu,cholesterol
chomiki,hamsters
chora,sick
chorobach,diseases
chorobami,diseases
chorobie,disease
chorobowa,sickness
chorował,he was sick
chorowała,she was sick
choruje,I am sick
chorują,they are sick
chorujący,sick
chorujących,those who are sick
chorwackiego,Croatian
chorwacku,Croatian
chorzowski,Chorzow
chorąży,ensign
chowają,They are hiding
choæ,although
chroni,protects
chroniona,protected
chronionej,protected
chronionych,protected
chroniącej,protecting
chroniący,protecting
chroniły,They protected
chruścików,caddisflies
chrzan,horseradish
chrzciny,baptism
chrzestna,godmother
chrzestną,godmother
chrześcijanie,Christians
chrześcijańskimi,christian
chrząszczy,beetles
chudych,skinny
chusteczek,tissues
chwale,glory
chwaleni,praised
chwalicie,you praise
chwalili,They praised
chwalonym,praised
chwieje,it wobbles
chwil,moments
chwilami,at times
chwilowe,momentary
chwilowo,temporarily
chwilowy,temporary
chwilą,one sec
chwycimy,we will grab
chytrego,sly
ch³opaków,guys
chóralnymi,choral
chęcią,with desire
chętni,willing
chętniej,more willingly
chętny,willing
chłodna,cool
chłodni,cold store
chłodniczego,refrigeration
chłodniczy,cooling
chłodniejszej,colder
chłodnik,cooler
chłodny,cool
chłodną,cool
chłop,peasant
chłopaka,boyfriend
chłopaki,guys
chłopakiem,a boy
chłopakom,to the boys
chłopcu,boy
chłopczyk,little boy
ciagnikiem,by tractor
ciarki,goosebumps
ciastka,cookies
ciałem,body
ciału,body
cicho,quiet
cichu,quietly
cichych,quiet
ciebie,you
ciecierzycy,chickpeas
ciekaw,curious
ciekawej,interesting
ciekawi,curious
ciekawostek,curiosities
ciekawostki,trivia
ciekawostką,fun fact
ciekawość,curiosity
ciekawy,interesting
ciekawymi,interesting
cieknie,it's leaking
ciele,calf
cielesnej,physical
cielęcia,calf
ciemna,dark
ciemno,dark
ciemnościach,in the dark
cieniowania,shading
cieniu,in the shadow
cieniutkie,thin
cienki,thin
cienkiej,thin
cienką,thin
cieplarnianego,greenhouse
cieplarnianych,greenhouse
cieplej,warmer
cieplnego,thermal
ciepłe,warm
ciepłem,warm
ciepłowniczej,heating
ciepły,warm
ciepłych,warm
ciepłą,warm
cierpią,they suffer
cierpliwa,patient
cierpliwości,patience
cierpliwością,patience
cierpliwość,patience
cierpliwym,patient
cieszyli,They were happy
cieszymy,we are happy
cieszył,he was glad
cieszyła,she was glad
cieszę,I am glad
cieście,dough
cieśli,carpenter
cinquecento,cinquecento
ciosów,blows
ciotce,aunt
ciszej,quieter
ciê¿arówka,truck
ciągi,sequences
ciągnie,is pulling
ciągnika,tractor
ciągników,tractors
ciągnąć,Pull
ciągnęła,she dragged on
ciągłej,continuous
ciągłych,continuous
ciąża,pregnancy
ciążył,was weighing
ciążące,burdensome
ciążę,I'm pregnant
cięcia,cuts
ciężarem,a burden
ciężarowego,heavy goods vehicle
ciężaru,weight
ciężarówek,trucks
ciężkiej,heavy
ciężką,hard
cięższy,heavier
ciśnienia,pressure
cmentarza,cemetery
cmentarzem,the cemetery
codzienności,everyday life
codzienność,everyday life
codzienną,everyday
cofkach,backwaters
comiesięcznie,monthly
comiesięcznych,monthly
coolcations,Coolcations
coroczne,annual
corocznego,annual
corocznej,annual
cos,something
covid,covid
coworkinkowa,coworking
co¶,What¶
crossoverów,crossovers
cuda,miracles
cudzie,a miracle
cudzoziemcy,foreigners
cudzysłowie,quotation marks
cudzą,someone else's
cukier,sugar
cukiernicy,confectioners
cukinia,zucchini
cukrem,sugar
cukrowej,sugar
cukrowni,sugar factory
cukrze,sugar
cukrzycy,diabetes
cukrzycą,diabetes
cupry,cupry
curry,curry
cwaniakiem,a smartass
cyberatak,cyberattack
cyberataku,cyberattack
cyberataków,cyberattacks
cyberbezpieczeństwie,cybersecurity
cyberprzestrzeni,cyberspace
cyberzagrożeniom,cyber threats
cyframi,in numbers
cyfrowe,digital
cyfrowy,digital
cyfry,numbers
cyfryzacji,digitalization
cyfrę,a number
cykl,cycle
cyklicznie,periodically
cyklon,cyclone
cynamonowe,cinnamon
cynizm,cynicism
cynku,zinc
cyrk,circus
cytowanych,quoted
cytował,he quoted
cytujemy,we quote
cytują,they quote
cywili,civilians
cywilne,civil
cywilnemu,civil
cywilny,civil
cywilnym,civil
cywilną,civil
czad,Chad
czadem,carbon monoxide
czadorem,a chador
czadyjskie,Chadian
czajniku,kettle
czarnego,black
czarnej,black
czarno,black
czarno-białe,black and white
czarnobylskiej,Chernobyl
czarnoksiężnika,the sorcerer
czarnych,black
czarterowy,charter
czaruje,it's charming
czarę,a cup
czasopisma,magazines
czasowe,temporary
czasowo,temporarily
czaszkę,a skull
czas”,"time"""
czatu,chat
czci,I honor
czczenie,worship
czeczeńskiego,Chechen
czego¶,what¶
czekających,waiting
czekającą,waiting
czekają”,"""they are waiting"""
czekam,I'm waiting
czekał,he was waiting
czekoladki,chocolates
czekoladą,chocolate
czelność,the audacity
czempionów,champions
czerpać,draw
czerpiących,drawing
czerwcowej,June
czerwcowy,June
czerwcowych,June
czerwiom,worm
czerwiu,brood
czerwonawy,reddish
czerwono-biało-czerwone,red-white-red
czerwony,red
czerwonymi,red
czerwoną,red
czerń,black
czeskich,Czech
czeskiego,Czech
czosnkiem,garlic
czo³gów,tanks
czoła,forehead
czołg,tank
czołgu,a tank
czołowa,frontal
czołowe,frontal
czołowo,frontally
czołówka,headlamp
czołówki,headlamps
czterdziestką,forty
czterdziestolecie,fortieth anniversary
czternasta,fourteenth
czternastek,fourteen
czternastki,fourteen
czteroletnie,four-year
czteroosobowy,four-person
czujnie,vigilantly
czujność,vigilance
czujny,alert
czuł,he felt
czuła,she was feeling
czułam,I felt
czwartego,the fourth
czwartkowej,Thursday's
czwartkowy,Thursday
czwartku,Thursday
czwartoligowym,fourth division
czwartoligową,fourth division
czworonoga,quadruped
czwórka,four
czwórką,four
czyhających,lurking
czyn,act
czyni,makes
czynią,they make
czynić,do
czynnej,active
czynnikach,factors
czynnościach,activities
czynnych,active
czynnym,active
czynszu,rent
czyste,clean
czystego,pure
czystą,clean
czyszczenie,cleaning
czytajcie,read
czytali,they read
czytania,reading
czytanie,reading
czytaniem,reading
czytałam,I was reading
czytelna,legible
czytelnictwa,readership
czytelnicze,reading
czytelnikami,readers
czytelność,readability
czyścić,clean
cz³onkami,members
cząsteczki,particles
cząstki,particles
częste,frequent
częstochowian,Częstochowa residents
częstochowskiej,Częstochowa
częstość,frequency
częstujemy,we treat
częstym,frequent
częściowego,partial
członkami,members
członkini,member
członkiń,members
członkostwa,membership
członkowi,member
członkowskie,Member
człowieczeństwa,humanity
człowieku,man
córce,daughter
córeczka,little daughter
córeczkę,little daughter
córkami,daughters
cła,customs
dachowy,roof
dachowych,roofing
dadzą,they will give
daewoo,daewoo
dający,giving
daję,I give
daktyle,dates
daktyli,dates
dal,distance
dala,away
daleka,far away
daleki,far
dalekich,far away
dalekiego,far away
dalekiej,far away
dalszego,further
damska,ladies
damskich,women's
damskie,ladies
damskiej,ladies
damy,ladies
dance,dance
dania,denmark
daniach,dishes
danie,dish
danym,given
darczyńcy,donors
dark,dark
darmo,for free
darmowa,free
darmowego,free
darmowych,free
darmową,free
darowanie,remission
darowizny,donations
darzyli,they gave
darów,gifts
dasz,you will give
datami,dates
datą-,date-
dawano,was given
dawało,it gave
dawcami,donors
dawcą,giver
dawek,doses
dawka,dose
dawkowania,Dosage
dawny,ex
dawnym,the old one
dawną,the old one
dałem,I gave
dań,dishes
dba,cares
dbając,taking care
dbali,they cared
dbania,taking care
dbałości,care
debat,debate
debatę,debate
debiut,debut
debiutu,debut
debla,doubles
deblu,doubles
decentralizacji,decentralization
decydowali,they decided
decydować,determine
decydowała,she decided
decydujemy,we decide
decydująca,decisive
decydujące,decisive
decydującego,decisive
decydujących,decisive
decyzjach,decisions
decyzjami,decisions
decyzj±,decision
defektoskopu,flaw detector
defensywie,defensive
deficyt,deficit
definicję,definition
definitywnie,definitely
deformacje,deformations
dekad,decades
dekada,decade
dekadach,decades
dekadę,a decade
deklaracje,declarations
deklarację,declaration
deklarowała,she declared
deko,deco
dekoltem,cleavage
dekoracyjne,decorative
dekryminalizacji,decriminalization
delegacje,delegations
delegacji,delegation
delegatek,delegates
delegaturach,delegations
delegowane,delegated
delegowano,was delegated
delegować,delegate
delegowała,she delegated
delfinach,dolphins
delikatna,delicate
delikatne,delicate
dementuje,I deny
demokracją,democracy
demokrację,democracy
demokratycznym,democratic
demokratyczną,democratic
demonstracja,demonstration
demonstracje,demonstrations
demonstruj±cych,demonstrating
demontażem,dismantling
denerwuje,I'm annoyed
dentyści,dentists
depesza,telegram
deportacja,deportation
deportowani,deported
deportowany,deported
depozycie,deposit
depozytowymi,deposit
deprawacji,depravity
depresji,depression
depresją,depression
depresyjnych,depressive
deputowana,deputy
derbowy,derby
deser,dessert
deseru,dessert
deserów,desserts
designerskie,designer
deski,boards
destabilizacji,destabilization
destylarnia,distillery
deszczami,rains
deszcze,rains
deszczowe,rainy
deszczowo,rainy
detaliczny,retail
detektywa,Detective
determinacja,determination
dewastacje,devastation
deweloper,developer
deweloperem,developer
deweloperskich,developer
deweloperskiej,developer
deweloperską,developer
deweloperzy,Developers
dezindustrializacja,deindustrialization
dezinflacji,disinflation
dezinformacji,disinformation
dezinformowaæ,disinform
dezynfekcji,disinfection
dezynfekującym,disinfectant
diabetycy,diabetics
diabeł,devil
diable,devil
diagnostycznego,diagnostic
diagnostyczny,diagnostic
diagnostyki,diagnostics
diagnoza,diagnosis
diagnozowana,diagnosed
diagnozê,diagnosis
diakon,deacon
diakona,Deacon
diakonów,deacons
diecezjach,dioceses
diecezjalnych,diocesan
diecezją,diocese
diesel,diesel
dieta,diet
dietetycy,Dietitians
dietę,diet
digitalizacja,digitalization
dilerskich,dealers
dinozaurów,dinosaurs
dip,dip
discopolowych,disco polo
dj,dj
dmuchane,inflatable
dmuchanej,inflatable
dnie,bottom
dniepropietrowskiego,Dnepropetrovsk
dobach,days
dobie,era
dobiegała,was reaching
dobiegł,he reached
dobierze,will choose
dobrana,selected
dobrany,selected
dobrać,choose
dobrem,good
dobre”,"Good"""
dobrobyt,prosperity
dobrodziejstwem,a boon
dobrostan,well-being
dobrowolny,voluntary
dobroć,kindness
dobrymi,good ones
dobrzy,good
dobr±,good
docenia,appreciates
doceniali,they appreciated
doceniane,appreciated
docenili,they appreciated
docenione,appreciated
docenił,he appreciated
doceniła,she appreciated
dochodach”,"""income"""
dochodami,income
dochodzeniówkę,Investigative
dochodząc,coming to
dochowali,they kept
dociera,it arrives
docierają,they arrive
docierając,reaching
docieranie,Lapping
dociskają,they are pressing
doczekać,wait
doczekała,she lived to see
dodaj,add
dodajmy,let's add
dodane,added
dodanie,addition
dodaniem,adding
dodaną,added
dodawania,adding
dodawać,add
dodawał,he added
dodały,They added
doda艂,add
dodruki,reprints
dodzwonić,to call
dofinansowań,subsidies
dofinansowując,co-financing
dogadywać,get along
dogasającą,dying out
dogaszania,extinguishing
dogodnych,convenient
dogranie,overdubbing
dogrywce,extra time
